Metric,Java Avg, Python Avg, Java Median, Python Median, U-statistic,p-value, cliff_delta
Average_duration_of_fixations,216.7376308814288, 216.68018624156966, 212.38148148148147, 217.67772486772486, 104.0,0.5260982598822899, -0.009523809523809525
Average_pupil_diameter,4.0300562372045, 4.253813351615466, 4.061512417989418, 4.311230201940036, 82.0,0.8474655946885568, -0.21904761904761905
Duration_of_first_fixation,1556.4160774877264, 1539.1799768314893, 1543.3472222222222, 1458.875, 116.0,0.3233837020027341, 0.10476190476190476
Number_of_fixations,245.9, 216.25, 212.0, 192.0, 122.0,0.23572585341946345, 0.1619047619047619
Time_to_first_fixation,85398.18514210591, 95302.50646613551, 81508.75, 90523.2636927568, 89.0,0.7642741465805365, -0.1523809523809524
Total_duration_of_fixations,54306.96666666667, 48318.482142857145, 45758.0, 45113.375, 113.0,0.3717103488476262, 0.0761904761904762
