Recording	Participant	Gender	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Average_pupil_diameter
Recording17	Participant15	Female	White on Black	pycomp2 (1)	1	pycomp2	ForLoop	26607	206	129	5713	132	4.02371
Recording17	Participant15	Female	White on Black	pycomp2 (1)	1	pycomp2	FuncHeader	4965	236	21	328	207	3.70439
Recording17	Participant15	Female	White on Black	pycomp2 (1)	1	pycomp2	JoinSentence	8947	229	39	6393	203	4.1538
Recording17	Participant15	Female	White on Black	pycomp2 (1)	1	pycomp2	Return	1332	166	8	86413	223	4.39688
Recording17	Participant15	Female	White on Black	pycomp2 (1)	1	pycomp2	SentenceSplit	8822	221	40	194	108	3.78169
Recording17	Participant15	Female	White on Black	pycomp2 (1)	1	pycomp2	VarDeclaration	9241	237	39	5491	193	4.01963
Recording30	Participant28	Male	White on Black	java1 (1)	1	java1	FunctionHeader	2267	206	11	609	302	5.47816
Recording30	Participant28	Male	White on Black	java1 (1)	1	java1	Loop	32534	229	142	31	190	5.65364
Recording30	Participant28	Male	White on Black	java1 (1)	1	java1	ReturnValue	725	363	2	22368	232	5.70034
Recording30	Participant28	Male	White on Black	java1 (1)	1	java1	VarDeclaration	4105	228	18	4178	80	5.65831
Recording30	Participant28	Male	White on Black	java1 (1)	1	java1	VarUpdate	4091	227	18	21390	260	5.71462
Recording30	Participant28	Male	White on Black	java2 (1)	1	java2	BugIsHere	26025	253	103	6315	192	5.44463
Recording30	Participant28	Male	White on Black	java2 (1)	1	java2	ForLoop	34382	239	144	0	282	5.45572
Recording30	Participant28	Male	White on Black	java2 (1)	1	java2	FunctionHeader	13279	221	60	675	175	5.3712
Recording30	Participant28	Male	White on Black	java2 (1)	1	java2	VarDeclaration	12250	219	56	8529	270	5.46608
Recording30	Participant28	Male	White on Black	py1sem (1)	1	py1sem	BuggyCall	30767	221	139	1135	223	5.46637
Recording30	Participant28	Male	White on Black	py1sem (1)	1	py1sem	BugIsHere	27589	228	121	22697	190	5.52237
Recording30	Participant28	Male	White on Black	py1sem (1)	1	py1sem	CastingCall	25375	215	118	1525	167	5.63055
Recording30	Participant28	Male	White on Black	py1sem (1)	1	py1sem	CastingFunction	20454	227	90	6330	152	5.52763
Recording30	Participant28	Male	White on Black	py1sem (1)	1	py1sem	MainHeader	173	173	1	5786	173	5.64761
Recording30	Participant28	Male	White on Black	py1sem (1)	1	py1sem	PrintStatement	36241	212	171	1380	110	5.51181
Recording30	Participant28	Male	White on Black	py1sem (1)	1	py1sem	VarDeclaration	23523	218	108	0	156	5.56689
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	BugIsHere	2878	360	8	34616	675	5.40526
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	FirstIfStatement	3953	188	21	12564	203	5.80916
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	FunctionCall	3348	176	19	1275	133	5.72587
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	FunctionHeader	1383	198	7	8396	343	5.72054
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	MainHeader	125	125	1	41373	125	5.25385
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	PrintStatement	6215	178	35	50	102	5.79802
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	Return	443	148	3	15084	157	5.71599
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	SecondIfStatement	5180	207	25	12369	167	5.71054
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	ThirdIfStatement	1998	182	11	8932	208	5.73036
Recording30	Participant28	Male	White on Black	py1syn (1)	1	py1syn	VarDeclaration	1805	181	10	202	153	5.67311
Recording30	Participant28	Male	White on Black	py2sem (1)	1	py2sem	BugIsHere	4618	243	19	4599	90	5.60765
Recording30	Participant28	Male	White on Black	py2sem (1)	1	py2sem	BugIsHere2	4603	230	20	16029	162	5.62495
Recording30	Participant28	Male	White on Black	py2sem (1)	1	py2sem	FirstPrint	10710	210	51	15647	357	5.60242
Recording30	Participant28	Male	White on Black	py2sem (1)	1	py2sem	Increment	598	299	2	28189	387	5.65341
Recording30	Participant28	Male	White on Black	py2sem (1)	1	py2sem	MainHeader	1025	146	7	944	67	5.46858
Recording30	Participant28	Male	White on Black	py2sem (1)	1	py2sem	SecondPrint	882	220	4	41193	253	5.5352
Recording30	Participant28	Male	White on Black	py2sem (1)	1	py2sem	VarDeclaration	10800	245	44	187	255	5.55847
Recording30	Participant28	Male	White on Black	py2syn (1)	1	py2syn	BugIsHere	4705	224	21	9953	273	5.46636
Recording30	Participant28	Male	White on Black	py2syn (1)	1	py2syn	FirstIfStatement	6262	196	32	8693	173	5.56559
Recording30	Participant28	Male	White on Black	py2syn (1)	1	py2syn	ForLoop	14625	229	64	1182	237	5.53742
Recording30	Participant28	Male	White on Black	py2syn (1)	1	py2syn	MainHeader	173	173	1	51714	173	5.18651
Recording30	Participant28	Male	White on Black	py2syn (1)	1	py2syn	ThirdIfStatement	2020	184	11	10510	187	5.59767
Recording30	Participant28	Male	White on Black	py2syn (1)	1	py2syn	VarDeclaration	6037	216	28	232	173	5.59099
Recording30	Participant28	Male	White on Black	pycomp1 (1)	1	pycomp1	ForLoop	13629	248	55	5	227	5.59019
Recording30	Participant28	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncCall	808	202	4	18436	210	5.65493
Recording30	Participant28	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncHeader	937	156	6	722	128	5.58459
Recording30	Participant28	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncReturn	1472	184	8	16631	95	5.67903
Recording30	Participant28	Male	White on Black	pycomp1 (1)	1	pycomp1	InputList	970	194	5	22067	247	5.72055
Recording30	Participant28	Male	White on Black	pycomp1 (1)	1	pycomp1	MainHeader	273	273	1	30361	273	5.7524
Recording30	Participant28	Male	White on Black	pycomp1 (1)	1	pycomp1	PrintStatement	678	170	4	22721	250	5.74882
Recording30	Participant28	Male	White on Black	pycomp1 (1)	1	pycomp1	VarDeclaration	4033	237	17	870	267	5.52228
Recording30	Participant28	Male	White on Black	pycomp2 (1)	1	pycomp2	ForLoop	73773	233	317	6564	255	5.63293
Recording30	Participant28	Male	White on Black	pycomp2 (1)	1	pycomp2	FuncHeader	2078	260	8	2767	213	5.70671
Recording30	Participant28	Male	White on Black	pycomp2 (1)	1	pycomp2	JoinSentence	37587	249	151	35141	355	5.61179
Recording30	Participant28	Male	White on Black	pycomp2 (1)	1	pycomp2	Return	3657	215	17	36374	372	5.65523
Recording30	Participant28	Male	White on Black	pycomp2 (1)	1	pycomp2	SentenceSplit	7948	227	35	356	478	5.57374
Recording30	Participant28	Male	White on Black	pycomp2 (1)	1	pycomp2	VarDeclaration	3667	183	20	164	168	5.60381
Recording5	Participant5	Male	White on Black	java1 (1)	1	java1	FunctionHeader	1030	206	5	1303	143	4.22067
Recording5	Participant5	Male	White on Black	java1 (1)	1	java1	Loop	21671	221	98	12068	147	4.42732
Recording5	Participant5	Male	White on Black	java1 (1)	1	java1	ReturnValue	893	223	4	42845	412	4.49448
Recording5	Participant5	Male	White on Black	java1 (1)	1	java1	VarDeclaration	4403	232	19	218	237	4.17377
Recording5	Participant5	Male	White on Black	java1 (1)	1	java1	VarUpdate	8027	268	30	680	305	4.45007
Recording5	Participant5	Male	White on Black	java2 (1)	1	java2	BugIsHere	3160	176	18	29905	122	4.23912
Recording5	Participant5	Male	White on Black	java2 (1)	1	java2	ForLoop	19727	263	75	7211	158	4.32546
Recording5	Participant5	Male	White on Black	java2 (1)	1	java2	FunctionHeader	5723	212	27	476	372	4.12962
Recording5	Participant5	Male	White on Black	java2 (1)	1	java2	VarDeclaration	7303	215	34	158	280	4.30565
Recording5	Participant5	Male	White on Black	py1sem (1)	1	py1sem	BuggyCall	0		0			
Recording5	Participant5	Male	White on Black	py1sem (1)	1	py1sem	BugIsHere	0		0			
Recording5	Participant5	Male	White on Black	py1sem (1)	1	py1sem	CastingCall	0		0			
Recording5	Participant5	Male	White on Black	py1sem (1)	1	py1sem	CastingFunction	0		0			
Recording5	Participant5	Male	White on Black	py1sem (1)	1	py1sem	MainHeader	0		0			
Recording5	Participant5	Male	White on Black	py1sem (1)	1	py1sem	PrintStatement	0		0			
Recording5	Participant5	Male	White on Black	py1sem (1)	1	py1sem	VarDeclaration	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	BugIsHere	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	FirstIfStatement	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	FunctionCall	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	FunctionHeader	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	MainHeader	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	PrintStatement	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	Return	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	SecondIfStatement	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	ThirdIfStatement	0		0			
Recording5	Participant5	Male	White on Black	py1syn (1)	1	py1syn	VarDeclaration	0		0			
Recording5	Participant5	Male	White on Black	py2sem (1)	1	py2sem	BugIsHere	9415	188	50	3375	282	4.34399
Recording5	Participant5	Male	White on Black	py2sem (1)	1	py2sem	BugIsHere2	8465	229	37	18652	132	4.4211
Recording5	Participant5	Male	White on Black	py2sem (1)	1	py2sem	FirstPrint	9757	184	53	16766	107	4.36491
Recording5	Participant5	Male	White on Black	py2sem (1)	1	py2sem	Increment	4763	265	18	17359	127	4.42959
Recording5	Participant5	Male	White on Black	py2sem (1)	1	py2sem	MainHeader	2548	196	13	424	243	4.21555
Recording5	Participant5	Male	White on Black	py2sem (1)	1	py2sem	SecondPrint	2450	163	15	18026	158	4.39662
Recording5	Participant5	Male	White on Black	py2sem (1)	1	py2sem	VarDeclaration	7118	245	29	1022	93	4.29306
Recording5	Participant5	Male	White on Black	py2syn (1)	1	py2syn	BugIsHere	6390	156	41	1803	655	4.77969
Recording5	Participant5	Male	White on Black	py2syn (1)	1	py2syn	FirstIfStatement	11509	146	79	5343	148	4.75666
Recording5	Participant5	Male	White on Black	py2syn (1)	1	py2syn	ForLoop	1468	184	8	221	178	4.70003
Recording5	Participant5	Male	White on Black	py2syn (1)	1	py2syn	MainHeader	490	123	4	1010	145	4.65176
Recording5	Participant5	Male	White on Black	py2syn (1)	1	py2syn	ThirdIfStatement	1390	126	11	3251	153	4.82831
Recording5	Participant5	Male	White on Black	py2syn (1)	1	py2syn	VarDeclaration	4139	134	31	0	1	4.67086
Recording5	Participant5	Male	White on Black	pycomp1 (1)	1	pycomp1	ForLoop	28768	240	120	7170	75	4.46466
Recording5	Participant5	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncCall	1388	198	7	80975	138	4.41368
Recording5	Participant5	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncHeader	1373	275	5	10149	188	4.17347
Recording5	Participant5	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncReturn	4842	194	25	43336	125	4.60624
Recording5	Participant5	Male	White on Black	pycomp1 (1)	1	pycomp1	InputList	6508	232	28	48596	307	4.31144
Recording5	Participant5	Male	White on Black	pycomp1 (1)	1	pycomp1	MainHeader	1310	218	6	75923	135	4.28416
Recording5	Participant5	Male	White on Black	pycomp1 (1)	1	pycomp1	PrintStatement	1538	220	7	82223	135	4.28205
Recording5	Participant5	Male	White on Black	pycomp1 (1)	1	pycomp1	VarDeclaration	2910	224	13	348	340	4.42155
Recording5	Participant5	Male	White on Black	pycomp2 (1)	1	pycomp2	ForLoop	55020	228	241	0	126	4.40445
Recording5	Participant5	Male	White on Black	pycomp2 (1)	1	pycomp2	FuncHeader	4070	214	19	343	185	4.49938
Recording5	Participant5	Male	White on Black	pycomp2 (1)	1	pycomp2	JoinSentence	13250	201	66	16422	153	4.58738
Recording5	Participant5	Male	White on Black	pycomp2 (1)	1	pycomp2	Return	4140	197	21	16900	223	4.56901
Recording5	Participant5	Male	White on Black	pycomp2 (1)	1	pycomp2	SentenceSplit	9930	231	43	171	140	4.42724
Recording5	Participant5	Male	White on Black	pycomp2 (1)	1	pycomp2	VarDeclaration	5723	260	22	8666	243	4.41687
Recording36	Participant33	Male	White on Black	java1 (1)	1	java1	FunctionHeader	2418	186	13	13255	160	4.27268
Recording36	Participant33	Male	White on Black	java1 (1)	1	java1	Loop	34286	264	130	1190	433	4.40607
Recording36	Participant33	Male	White on Black	java1 (1)	1	java1	ReturnValue	1603	229	7	6810	113	4.49313
Recording36	Participant33	Male	White on Black	java1 (1)	1	java1	VarDeclaration	5592	207	27	268	145	4.30136
Recording36	Participant33	Male	White on Black	java1 (1)	1	java1	VarUpdate	3963	248	16	6943	148	4.48312
Recording36	Participant33	Male	White on Black	java2 (1)	1	java2	BugIsHere	18755	272	69	11072	128	4.30897
Recording36	Participant33	Male	White on Black	java2 (1)	1	java2	ForLoop	14572	208	70	16962	185	4.1825
Recording36	Participant33	Male	White on Black	java2 (1)	1	java2	FunctionHeader	2993	272	11	29405	238	4.25212
Recording36	Participant33	Male	White on Black	java2 (1)	1	java2	VarDeclaration	9088	246	37	13993	113	4.18465
