Metric,AOI,Syn Avg, Sem Avg, Syn Median, Sem Median, W-statistic,p-value, cliff_delta
Average_duration_of_fixations,BugIsHere,245.1679012345679, 221.59895833333334, 254.62962962962962, 222.0, 102.0,0.007537841796875, 0.27111111111111114
Average_pupil_diameter,BugIsHere,4.154928395061728, 4.006352583333333, 4.199035, 4.15833, 105.0,0.004180908203125, 0.17333333333333334
Duration_of_first_fixation,BugIsHere,308.76666666666665, 193.42083333333332, 275.0, 194.0, 107.0,0.002685546875, 0.5466666666666666
Number_of_fixations,BugIsHere,25.533333333333335, 37.2, 18.5, 27.5, 27.0,0.972320556640625, -0.5377777777777778
Time_to_first_fixation,BugIsHere,18705.395061728395, 16832.030208333334, 16117.0, 15495.0, 67.0,0.35986328125, 0.16444444444444445
Total_duration_of_fixations,BugIsHere,5568.966666666666, 8342.933333333332, 3791.5, 6558.5, 24.0,0.982330322265625, -0.5111111111111111
