Metric,Java Avg, Python Avg, Java Median, Python Median, U-statistic,p-value, cliff_delta
Average_duration_of_fixations,219.2627713967633, 209.75130757459382, 216.5, 202.39285714285714, 121.0,0.2493694108251565, 0.1523809523809524
Average_pupil_diameter,4.072134136787615, 4.297814301722791, 4.20334897065897, 4.324999842472343, 85.0,0.8145244827334517, -0.19047619047619047
Duration_of_first_fixation,1497.360719832736, 1384.0685699157475, 1503.5, 1412.2153524492235, 129.0,0.15253440531144324, 0.22857142857142856
Number_of_fixations,210.2, 142.67857142857142, 198.5, 121.75, 154.0,0.017142083698113313, 0.4666666666666667
Time_to_first_fixation,102361.96920617465, 143153.6581744868, 96589.5, 114705.77272727274, 79.0,0.8762728546176122, -0.24761904761904763
Total_duration_of_fixations,47995.833333333336, 32768.53571428572, 48697.0, 26588.5, 155.0,0.015372517379496601, 0.47619047619047616
