Metric,Comp Avg, Debug Avg, Comp Median, Debug Median, W-statistic,p-value, cliff_delta
Average_duration_of_fixations,219.2627713967633, 216.7376308814288, 216.5, 212.38148148148147, 49.0,0.737762451171875, -0.06666666666666667
Average_pupil_diameter,4.072134136787615, 4.0300562372045, 4.20334897065897, 4.061512417989418, 20.0,0.990966796875, -0.08444444444444445
Duration_of_first_fixation,1497.360719832736, 1556.4160774877264, 1503.5, 1543.3472222222222, 73.0,0.244354248046875, 0.14666666666666667
Number_of_fixations,210.2, 245.9, 198.5, 212.0, 89.0,0.053497314453125, 0.14666666666666667
Time_to_first_fixation,102361.96920617465, 85398.18514210591, 96589.5, 81508.75, 44.0,0.8204345703125, -0.19111111111111112
Total_duration_of_fixations,47995.833333333336, 54306.96666666667, 48697.0, 45758.0, 83.0,0.1038818359375, 0.06666666666666667
