Metric,Java Avg, Python Avg, Java Median, Python Median, U-statistic,p-value, cliff_delta
Average_duration_of_fixations,220.1364087301587, 212.4473272263451, 219.24603174603175, 212.10714285714286, 120.0,0.2634217173651098, 0.14285714285714285
Average_pupil_diameter,3.987549575096201, 4.206179028185769, 4.035197222222222, 4.270556640211641, 82.0,0.8474655946885568, -0.21904761904761905
Duration_of_first_fixation,1419.9721170033667, 1383.7316092472342, 1377.5, 1367.0, 117.0,0.3078685290201285, 0.11428571428571428
Number_of_fixations,282.46666666666664, 286.25, 249.5, 261.75, 106.5,0.48259211465763224, 0.014285714285714285
Time_to_first_fixation,83866.15710227274, 83763.94032963565, 83409.5, 82132.1484375, 103.0,0.5434419599638128, -0.01904761904761905
Total_duration_of_fixations,62908.26666666667, 63138.25, 59360.5, 52857.5, 110.0,0.42215007381101577, 0.047619047619047616
