Metric,Java Avg, Python Avg, Java Median, Python Median, U-statistic,p-value, cliff_delta
Average_duration_of_fixations,213.76370026379007, 220.38393787989116, 215.9375, 218.375, 91.0,0.7365782826348902, -0.13333333333333333
Average_pupil_diameter,4.067249566549263, 4.29549338461645, 4.084538214285714, 4.346819568452381, 85.0,0.8145244827334517, -0.19047619047619047
Duration_of_first_fixation,1692.8600379720856, 1694.628344415744, 1667.2280172413793, 1617.75, 112.0,0.38832656328858306, 0.06666666666666667
Number_of_fixations,209.33333333333334, 146.25, 176.0, 137.0, 126.5,0.179668795219517, 0.20476190476190476
Time_to_first_fixation,86930.21318193912, 106841.0726026354, 86868.5, 97139.23214285714, 82.0,0.8474655946885568, -0.21904761904761905
Total_duration_of_fixations,45705.666666666664, 33498.71428571428, 36187.5, 31421.25, 119.0,0.27786748122115745, 0.13333333333333333
