Metric,Media,AOI,Java Avg, Python Avg, Java Median, Python Median, U-statistic,p-value, cliff_delta
Duration_of_first_fixation,py1sem,BuggyCall,206.7858585858586, 196.57142857142858, 192.0, 183.0, 108.0,0.4565473785154526, 0.02857142857142857
Duration_of_first_fixation,py1sem,CastingCall,218.55151515151513, 207.71428571428572, 223.27272727272728, 171.5, 128.0,0.16299513183557734, 0.21904761904761905
Duration_of_first_fixation,py1sem,CastingFunction,227.10416666666666, 171.25446428571428, 197.0, 193.0, 126.5,0.1796095912142071, 0.20476190476190476
Duration_of_first_fixation,py1sem,MainHeader,246.36666666666667, 234.0952380952381, 234.05555555555554, 234.05555555555554, 113.0,0.36217821317235954, 0.0761904761904762
Duration_of_first_fixation,py1sem,PrintStatement,166.15833333333333, 190.02678571428572, 160.0, 171.0, 94.5,0.6844565705753949, -0.1
Duration_of_first_fixation,py1sem,VarDeclaration,180.96565656565656, 142.78571428571428, 164.4848484848485, 160.0, 126.0,0.1854460550189896, 0.2
Duration_of_first_fixation,py1syn,BugIsHere,324.93333333333334, 312.14285714285717, 298.0, 272.5, 112.0,0.38784145698255745, 0.06666666666666667
Duration_of_first_fixation,py1syn,FirstIfStatement,186.82083333333333, 237.35714285714286, 188.0, 229.0, 82.5,0.8423524707045961, -0.21428571428571427
Duration_of_first_fixation,py1syn,FunctionCall,197.31041666666667, 147.26116071428572, 158.0, 162.5, 130.0,0.14232615482840122, 0.23809523809523808
Duration_of_first_fixation,py1syn,FunctionHeader,201.62666666666667, 241.8190476190476, 197.0, 257.5, 77.0,0.8935598308177037, -0.26666666666666666
Duration_of_first_fixation,py1syn,MainHeader,217.33333333333337, 214.76190476190476, 216.33333333333334, 216.33333333333334, 109.0,0.43759590153397504, 0.0380952380952381
Duration_of_first_fixation,py1syn,PrintStatement,176.84166666666667, 176.28571428571428, 177.0, 179.5, 101.5,0.569360609955436, -0.03333333333333333
Duration_of_first_fixation,py1syn,Return,192.6, 186.64285714285714, 185.0, 178.0, 120.0,0.2631412784546875, 0.14285714285714285
Duration_of_first_fixation,py1syn,SecondIfStatement,202.12, 201.18571428571428, 190.6, 184.3, 105.5,0.5, 0.004761904761904762
Duration_of_first_fixation,py1syn,ThirdIfStatement,198.38620689655173, 167.49014778325122, 197.0, 170.0, 131.0,0.13219458128780087, 0.24761904761904763
Duration_of_first_fixation,py1syn,VarDeclaration,211.4, 167.42857142857142, 190.0, 170.5, 142.5,0.052679980224956784, 0.35714285714285715
Duration_of_first_fixation,py2sem,BugIsHere,192.06666666666666, 204.5995670995671, 167.0, 165.0, 103.5,0.5347954698380878, -0.014285714285714285
Duration_of_first_fixation,py2sem,BugIsHere2,166.8, 197.77489177489178, 157.0, 176.42424242424244, 94.5,0.6844776078863336, -0.1
Duration_of_first_fixation,py2sem,FirstPrint,237.6, 212.5, 185.0, 221.0, 106.0,0.49129291207185144, 0.009523809523809525
Duration_of_first_fixation,py2sem,Increment,256.06666666666666, 316.1753246753247, 193.0, 257.0, 92.0,0.7221325187788425, -0.12380952380952381
Duration_of_first_fixation,py2sem,MainHeader,173.63703703703703, 244.4814814814815, 180.0, 215.5925925925926, 57.0,0.9834854979698684, -0.45714285714285713
Duration_of_first_fixation,py2sem,SecondPrint,194.93333333333334, 169.17099567099567, 198.0, 152.5, 151.0,0.023515140738758107, 0.4380952380952381
Duration_of_first_fixation,py2sem,VarDeclaration,178.13333333333333, 149.83982683982686, 164.0, 157.0, 128.0,0.16299513183557734, 0.21904761904761905
Duration_of_first_fixation,py2syn,BugIsHere,292.6, 228.71428571428572, 255.0, 190.0, 129.0,0.15253440531144324, 0.22857142857142856
Duration_of_first_fixation,py2syn,FirstIfStatement,198.6, 219.57142857142858, 173.0, 204.0, 101.5,0.5693098334797454, -0.03333333333333333
Duration_of_first_fixation,py2syn,ForLoop,193.2, 196.5064935064935, 178.0, 167.5, 113.0,0.37167985202281806, 0.0761904761904762
Duration_of_first_fixation,py2syn,MainHeader,253.94761904761904, 229.77551020408166, 237.0, 240.21428571428572, 123.0,0.22188564469587851, 0.17142857142857143
Duration_of_first_fixation,py2syn,ThirdIfStatement,179.73333333333332, 221.42857142857142, 153.0, 184.5, 85.0,0.8146128934285015, -0.19047619047619047
Duration_of_first_fixation,py2syn,VarDeclaration,158.26666666666668, 240.8852813852814, 167.0, 177.0, 73.5,0.9190429702514448, -0.3
Duration_of_first_fixation,pycomp1,ForLoop,212.0, 228.4978354978355, 197.0, 212.4848484848485, 102.5,0.552097709537904, -0.023809523809523808
Duration_of_first_fixation,pycomp1,FuncCall,199.86666666666667, 167.55627705627708, 187.0, 180.5, 122.0,0.23567123807063006, 0.1619047619047619
Duration_of_first_fixation,pycomp1,FuncHeader,214.45185185185184, 232.84126984126982, 218.92592592592592, 215.46296296296296, 99.5,0.6037237593406303, -0.05238095238095238
Duration_of_first_fixation,pycomp1,FuncReturn,244.33333333333334, 174.85714285714286, 202.0, 177.0, 144.0,0.046431522028226965, 0.37142857142857144
Duration_of_first_fixation,pycomp1,InputList,201.0, 244.28571428571428, 185.0, 193.5, 102.0,0.5607106995415676, -0.02857142857142857
Duration_of_first_fixation,pycomp1,MainHeader,204.2, 180.02678571428572, 187.0, 193.34375, 119.5,0.2705216899098053, 0.1380952380952381
